periodo,regiao,instituicao,especialidade,doentes_saidos,dias_internamento,latitude,longitude,demora_media
2018-06,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",Outras Camas,232.0,8794.0,38.708454,-9.216985,37.9051724137931
2018-06,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",Outras Camas,261.0,3088.0,39.478072,-8.5404429,11.831417624521073
2018-06,Região de Saúde LVT,"Hospital de Cascais, PPP",Outras Camas,238.0,3999.0,38.729006,-9.418267,16.80252100840336
2018-06,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP",Outras Camas,152.0,2299.0,38.977235,-8.984506,15.125
2018-06,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",Outras Camas,828.0,12187.0,41.1094138,-8.5972617,14.718599033816425
2018-06,Região de Saúde Norte,"Hospital de Braga, PPP",Outras Camas,68.0,1713.0,41.56785,-8.398982,25.191176470588236
2018-06,Região de Saúde Norte,"Instituto Português Oncologia do Porto, EPE",Outras Camas,470.0,7361.0,41.1785642,-8.6062881,15.661702127659574
2018-06,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE",Outras Camas,64.0,874.0,41.1794456,-8.6745115,13.65625
2018-07,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE",Outras Camas,131.0,1917.0,38.014123,-7.8721227,14.633587786259541
2018-07,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve,EPE",Outras Camas,954.0,14492.0,37.0238973,-7.9281554,15.19077568134172
2018-07,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE",Outras Camas,760.0,12721.0,40.516364,-8.0827433,16.73815789473684
2018-07,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE",Outras Camas,554.0,2780.0,40.117897,-8.8586755,5.018050541516246
2018-07,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE",Outras Camas,273.0,4879.0,40.5309916,-7.2734793,17.871794871794872
2018-07,Região de Saúde Norte,"Centro Hospitalar Universitário de São João, EPE",Outras Camas,1118.0,20984.0,41.1831056,-8.6010558,18.76923076923077
2018-07,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE",Outras Camas,954.0,16755.0,41.1472498,-8.6172617,17.562893081761008
2018-07,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",Outras Camas,427.0,5853.0,41.3031784,-7.7515252,13.707259953161593
2018-07,Região de Saúde Norte,"Unidade Local de Saúde do Alto Minho, EPE",Outras Camas,561.0,4724.0,41.7056054,-8.8252713,8.420677361853832
2018-07,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE",Outras Camas,199.0,4229.0,41.8056532,-6.7888197,21.251256281407034
2018-08,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE",Outras Camas,78.0,1925.0,38.0162314,-8.6956768,24.67948717948718
2018-08,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE",Outras Camas,202.0,3026.0,39.3003425,-7.4263845,14.98019801980198
2018-08,Região de Saúde do Centro,Hospital Arcebispo João Crisóstomo,Outras Camas,134.0,3168.0,40.3470015,-8.5933462,23.64179104477612
2018-08,Região de Saúde LVT,"Hospital de Loures, PPP",Outras Camas,575.0,9699.0,38.821455,-9.176296,16.867826086956523
2018-08,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",Outras Camas,135.0,3247.0,39.2410946,-8.6937515,24.05185185185185
2018-08,Região de Saúde Norte,"Centro Hospitalar Universitário de São João, EPE",Outras Camas,1359.0,23021.0,41.1831056,-8.6010558,16.939661515820458
